order_id,order_date,customer_id,product,category,quantity,price,region
1001,2024-01-05,C001,Laptop,Electronics,1,65000,North
1002,2024-01-07,C002,Mobile Phone,Electronics,2,30000,West
1003,2024-01-10,C003,Office Chair,Furniture,1,12000,East
1004,2024-01-15,C001,Headphones,Electronics,2,4000,North
1005,2024-01-20,C004,Desk,Furniture,1,18000,South
1006,2024-02-02,C005,Tablet,Electronics,1,25000,West
1007,2024-02-05,C002,Keyboard,Accessories,1,2500,West
1008,2024-02-12,C006,Monitor,Electronics,2,15000,East
1009,2024-02-18,C003,Mouse,Accessories,2,1200,East
1010,2024-03-01,C001,Printer,Electronics,1,22000,North
1011,2024-03-05,C004,Bookshelf,Furniture,1,9000,South
1012,2024-03-10,C005,Smart Watch,Electronics,1,18000,West
